Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Target
39,0,0,0,0,0,0,0,40,0
50,1,0,1,1,1,0,0,13,0
38,2,1,2,2,0,0,0,40,0
53,2,2,1,2,1,1,0,40,0
28,2,0,1,3,2,1,1,40,0
37,2,3,1,1,2,0,1,40,0
49,2,4,3,4,0,1,1,16,0
52,1,1,1,1,1,0,0,45,1
31,2,3,0,3,0,0,1,50,1
42,2,0,1,1,1,0,0,40,1
37,2,5,1,1,1,1,0,80,1
30,0,0,1,3,1,2,0,40,1
23,2,0,0,0,3,0,1,30,0
32,2,6,0,5,0,1,0,50,0
40,2,7,1,6,1,2,0,40,1
34,2,8,1,7,1,3,0,45,0
25,1,1,0,8,3,0,0,35,0
32,2,1,0,9,4,0,0,40,0
38,2,2,1,5,1,0,0,50,0
43,1,3,2,1,4,0,1,45,1
40,2,9,1,3,1,0,0,60,1
54,2,1,4,4,4,1,1,20,0
35,3,4,1,8,1,1,0,40,0
43,2,2,1,7,1,0,0,40,0
59,2,1,2,10,4,0,1,40,0
56,4,0,1,10,1,0,0,40,1
19,2,1,0,6,3,0,0,40,0
54,5,5,1,11,1,2,0,60,1
39,2,1,2,1,0,0,0,80,0
49,2,1,1,6,1,0,0,40,0
23,4,6,0,12,0,0,0,52,0
20,2,5,0,5,3,1,0,44,0
45,2,0,2,1,3,0,0,40,0
30,3,5,1,0,3,0,0,40,0
22,0,5,1,4,1,1,0,15,0
48,2,2,0,9,4,0,0,40,0
21,2,5,0,9,3,0,0,40,0
19,2,1,5,0,2,0,1,25,0
31,2,5,1,5,1,0,0,38,1
48,1,6,1,3,1,0,0,40,0
31,2,4,1,9,1,0,0,43,0
53,1,0,1,3,1,0,0,40,0
24,2,0,1,10,1,0,0,50,0
49,2,1,4,0,4,0,1,40,0
25,2,1,0,2,0,0,0,35,0
57,3,0,1,3,1,1,0,40,1
53,2,1,1,9,1,0,0,38,0
44,2,3,2,1,4,0,1,40,0
41,0,7,1,6,1,0,0,40,0
29,2,7,0,3,0,0,0,43,0
25,2,5,1,1,2,4,1,40,0
18,2,1,0,4,3,0,1,30,0
47,2,10,1,3,2,0,1,60,1
50,3,0,2,1,0,0,0,55,1
47,6,1,2,1,0,0,0,60,0
43,2,5,1,10,1,0,0,40,1
46,2,11,1,9,1,0,0,40,0
35,2,7,1,4,1,0,0,40,0
41,2,1,1,0,1,0,0,48,0
30,2,1,1,9,1,0,0,40,0
30,2,0,1,5,1,0,0,40,0
32,5,8,3,11,0,0,0,40,0
48,2,1,1,7,1,0,0,40,0
42,2,9,1,3,1,0,0,45,1
29,2,5,2,10,0,0,0,58,0
36,2,1,1,6,1,0,0,40,0
28,2,5,2,0,0,0,1,40,0
53,2,1,1,0,2,0,1,40,1
49,6,5,1,1,1,0,0,50,1
25,5,5,0,11,3,0,0,40,0
19,2,5,0,3,3,0,0,32,0
31,2,0,4,5,3,1,1,40,0
29,1,0,1,5,1,0,0,70,1
23,2,5,0,9,0,0,0,40,0
79,2,5,1,3,5,0,0,20,0
27,2,1,0,4,3,0,0,40,0
40,2,6,1,0,1,0,0,40,0
67,5,12,1,11,1,0,0,2,0
18,2,2,0,4,3,0,1,22,0
31,4,8,1,8,1,0,0,40,0
18,2,1,0,5,0,0,0,30,0
52,2,0,1,4,1,0,0,40,0
46,2,1,1,4,2,0,1,40,0
59,2,1,1,5,1,0,0,48,0
44,2,1,2,6,0,0,1,40,1
53,2,1,2,5,3,0,1,35,0
49,4,1,1,12,1,0,0,40,1
33,2,3,1,3,1,0,0,50,0
30,2,4,0,5,0,0,0,40,0
43,3,9,0,3,0,0,1,50,1
57,2,7,1,3,1,0,0,40,0
37,2,5,2,6,4,0,1,40,0
28,2,5,2,9,4,1,1,25,0
30,2,1,1,5,2,2,1,35,0
34,4,0,1,12,1,0,0,40,1
29,4,5,0,2,0,0,0,50,0
48,1,9,1,3,1,0,0,60,1
37,2,5,1,5,1,0,0,48,1
48,2,6,2,1,4,0,1,40,0
32,3,1,0,4,3,1,0,40,0
76,2,3,1,1,1,0,0,40,1
44,2,0,1,1,1,0,0,60,1
47,1,3,0,3,0,0,1,50,0
20,2,5,0,10,3,0,1,40,0
29,2,1,0,6,0,0,0,40,0
32,6,1,1,6,1,0,0,40,1
17,5,12,0,11,3,0,1,32,0
30,2,2,0,2,3,0,0,40,0
31,4,1,0,0,0,0,1,40,0
42,2,1,1,2,1,0,0,40,0
24,2,0,0,5,5,0,0,40,0
38,2,10,1,3,1,0,0,40,1
56,1,1,1,4,1,0,0,50,1
28,2,5,1,5,2,0,1,25,0
36,2,1,0,9,3,0,1,40,0
53,2,4,1,2,1,0,0,50,0
56,6,5,1,5,1,0,0,50,0
49,4,7,1,6,1,1,0,40,1
55,2,5,1,5,1,0,0,56,0
22,2,1,0,6,0,0,0,41,0
21,2,5,0,4,3,0,1,40,0
40,2,0,1,1,1,0,0,60,0
30,2,0,0,1,3,1,0,40,0
29,0,0,1,3,1,0,0,50,1
19,2,5,0,4,3,1,0,35,0
47,2,0,1,1,2,0,1,40,1
20,2,5,0,0,3,0,1,28,0
31,2,6,1,0,1,0,0,40,1
35,5,1,1,11,1,0,0,40,0
39,2,5,2,6,0,0,0,40,0
28,2,6,0,5,0,0,1,60,0
24,2,1,0,4,0,0,1,40,0
38,1,1,1,6,1,0,0,35,0
37,2,0,1,5,1,0,0,50,0
46,2,6,2,10,0,1,1,36,0
38,3,3,1,3,1,0,0,40,1
43,1,1,1,6,1,0,0,60,0
27,2,7,1,0,2,0,1,35,0
20,2,5,0,5,3,0,0,20,0
49,2,5,1,6,1,2,0,40,1
61,6,1,1,6,1,0,0,40,0
27,2,5,0,5,3,0,1,40,0
19,2,5,0,4,3,0,0,30,0
45,2,7,0,3,0,0,1,40,1
70,2,5,0,10,5,0,0,40,0
31,2,1,0,7,4,1,1,30,0
22,2,5,1,4,1,0,0,24,0
36,2,1,6,4,4,0,1,24,0
64,2,2,1,6,1,0,0,40,0
43,5,5,2,11,0,0,1,40,0
47,4,5,2,0,4,0,1,38,0
34,2,1,0,0,0,0,1,40,0
33,2,0,0,1,5,2,1,40,0
21,2,1,0,6,3,0,0,35,0
52,5,1,2,11,0,0,0,45,1
48,2,1,1,6,1,0,0,46,0
23,2,0,0,2,0,0,0,40,0
71,1,5,4,5,4,1,0,2,0
29,2,1,2,6,0,0,0,60,0
42,2,0,4,4,5,1,0,50,0
68,5,13,2,11,0,0,1,20,0
25,2,1,0,4,4,0,1,40,0
44,6,3,2,1,4,2,1,40,0
28,2,1,0,1,0,2,1,40,0
45,1,3,1,5,1,0,0,40,1
36,2,5,2,4,4,0,1,40,0
39,3,6,0,1,0,0,0,42,0
46,0,3,6,12,4,0,0,40,0
18,2,2,0,2,3,0,0,16,0
66,4,7,6,3,0,0,1,20,0
27,2,1,0,4,0,0,0,40,0
28,0,1,1,12,1,0,0,40,0
51,2,5,1,5,1,0,0,40,1
27,2,0,0,6,0,0,0,50,0
28,0,0,1,3,1,0,0,40,1
27,2,1,3,5,4,0,1,25,0
21,2,1,0,6,3,1,0,40,0
34,2,1,0,2,0,1,0,40,0
18,2,1,0,4,3,0,0,12,0
33,2,0,1,3,1,0,0,65,0
44,4,5,1,1,1,1,0,38,1
43,2,5,2,0,0,0,1,40,0
30,2,5,0,6,0,1,0,45,0
40,2,8,1,9,1,0,0,40,1
37,3,5,1,0,1,0,0,42,1
34,2,1,1,0,1,1,0,40,0
41,1,0,2,1,0,0,1,40,0
53,5,0,2,11,0,0,1,50,0
31,2,3,1,3,2,0,1,50,0
58,0,9,1,3,1,0,0,1,1
38,2,5,2,9,0,1,1,28,0
24,2,5,1,9,1,0,0,40,0
41,4,0,1,6,1,1,0,40,0
47,2,5,1,10,1,0,0,45,0
41,3,0,1,10,1,0,0,24,0
23,2,11,1,7,5,0,0,40,0
36,2,5,2,6,0,0,0,40,0
40,3,3,0,1,0,0,1,55,1
35,2,3,1,3,5,0,0,40,1
24,1,1,0,5,0,0,0,40,0
26,2,3,0,3,0,0,1,40,0
19,5,1,0,11,3,0,0,40,0
51,2,0,1,1,1,0,0,50,1
